from;to
MinistryEvNorway;WECF
MinistryEvSW;WECF
MinistryForeign;WECF
MinistryofHousing;WECF
MUCKINGENIEURE;IOG
MusikgruppeShaymani;PD
Nalco;IOG
NatracareUK;WECF
NextKraftwerke;IOG
Nickelodeon;PD
Nivea;PD
NORMA;PD
OCHA;WHH
Oertli;cbm
Olympus;PD
Osthus;care
OttoBockStiftung;JU
OuiGruppe;PD
PapierMettler;cbm
Payback;care
PEJA;WECF
PERI;IOG
PFEIFER;IOG
PI;help
Piepenbrock;PD
PippaundJean;PD
PlanInternationalKinder;PD
PrittundHenkel;PD
PROMECON;IOG
ProvinceOverjissel;WECF
RBS;PD
Rebelle;PD
Reishunger;care
RocheDiabetes;JU
RolfRonschke;IOG
RotaryClubBadOrb;IOG
RotaryClubBiedenkopf;IOG
RotaryClubGrafschaftMoers;IOG
RoyalNetherlands;WECF
RTL;care
RTL;JU
RTL;MI
RundHUmwelt;IOG
Santander;PD
SchenkerDeutschland;IOG
schlaich;IOG
Schleicher;PD
Schwarzkopf;PD
SchweizerBotschaftB;help
se;MI
se;WIN
seneos;IOG
SIDA;help
SIDA;WIN
Slido;GTO
SOFiSTiK;IOG
SopraSteria;IOG
soulproducts;VcA
SparkasseKrefeld;am
Staedtler;PD
STRATEC;PD
Sunshine;IOG
SWG;care
TAO;PD
Telekom;WHH
Telekom;help
Theobroma;WHH
TheologischeHochschule;ADRA
THW;JU
TransPack;cbm
TueVRheinland;IOG
TUI;PD
ukaid;MI
UNDP;ToG
UNEP;BORDA
UNFPA;care
UNFPA;help
unhabitat;BORDA
UNHCR;WHH
UNHCR;ADRA
UNHCR;help
UNHCR;PD
UNHCR;WRD
UNHCR;WV
UNICEF;arche
UNICEF;BORDA
UNICEF;help
UNICEF;MI
UNICEF;ToG
UNICEF;WRD
UNO;ADRA
UNOCHA;arche
UNOCHA;help
UNOCHA;WRD
UNWater;GTO
UPS;JU
USAID;WHH
USAID;ToG
USAID;WRD
VDW;IOG
VET;GTO
VetConcept;cbm
Vincotech;PD
Voelkel;PD
VolksbankKrefeld;am
VolksbankSchermbeck;PD
WaterChannel;WECF
WaterManagementAustria;WECF
Weihnachtsplaner;WHH
Werbealm;PD
WFB;BORDA
WFP;WHH
WFP;help
WFP;MI
WFP;PD
WFP;WV
WHO;help
WHO;MI
WHO;DAHW
WHO;WRD
WITRON;cbm
WVN;ADRA
XING;PD
YouGov;WHH
ZEISS;cbm
Zentiva;am
ZPP;IOG
